symbol,name,sector,market_cap,change_pct
CNC,Centene Corporation,Health Care,3881999969.482422,0.025762229269293342
CNP,CenterPoint Energy,Utilities,3852000045.776367,0.3647717190001438
CF,CF Industries,Materials,8027999877.9296875,1.248578449159357
CRL,Charles River Laboratories,Health Care,18441929626.464844,-0.13575670481542995
SCHW,Charles Schwab Corporation,Financials,9530000305.175781,1.3937708455819118
CHTR,Charter Communications,Communication Services,20133000183.10547,0.685134562506739
CVX,Chevron Corporation,Energy,15174499511.71875,0.10224868595641778
CMG,Chipotle Mexican Grill,Consumer Discretionary,3388499832.1533203,-0.13263183978136714
CB,Chubb Limited,Financials,117787065739.09003,0.13048967346345203
CHD,Church & Dwight,Consumer Staples,20452168518.740845,0.0
CI,Cigna,Health Care,72036083252.66919,-0.24009223009747518
CINF,Cincinnati Financial,Financials,25634785713.124878,0.6755455581630866
CTAS,Cintas,Industrials,74150957148.07037,0.0
CSCO,Cisco,Information Technology,306624706825.17706,-0.1864908592493971
C,Citigroup,Financials,199360034493.12527,1.4758217112319956
CFG,Citizens Financial Group,Financials,24082214845.69359,0.2693992906910288
CLX,Clorox,Consumer Staples,12883567965.009117,0.42788303268183997
CME,CME Group,Financials,98674530449.62341,0.0
CMS,CMS Energy,Utilities,21877547720.107956,-0.4155742368914768
KO,Coca-Cola Company (The),Consumer Staples,303989545538.64514,-0.24713377827541416
CTSH,Cognizant,Information Technology,39144935175.93306,0.0
COIN,Coinbase,Financials,74764137345.38458,0.10111178886315635
CL,Colgate-Palmolive,Consumer Staples,62968486656.44302,0.0
CMCSA,Comcast,Communication Services,101221844632.64601,-0.07291453715331522
CAG,Conagra Brands,Consumer Staples,8117675375.629463,-1.1363618680546002
COP,ConocoPhillips,Energy,115939317017.01167,1.1109947713591475
ED,Consolidated Edison,Utilities,34812238290.11194,0.0
STZ,Constellation Brands,Consumer Staples,24021204876.0,0.0
CEG,Constellation Energy,Utilities,116596010575.73447,0.0
COO,Cooper Companies (The),Health Care,15426306825.713615,1.763617108037865
CPRT,Copart,Industrials,37592965871.89334,-0.025735706372969985
GLW,Corning Inc.,Information Technology,74778974785.70251,0.0
CPAY,Corpay,Financials,21144064483.924805,-0.1533968955903837
CTVA,Corteva,Materials,45058283963.775635,0.0
CSGP,CoStar Group,Real Estate,29036100316.79316,0.0
COST,Costco,Consumer Staples,395528345627.09546,0.0
CTRA,Coterra,Energy,20910034969.085205,0.9020649506989702
CRWD,CrowdStrike,Information Technology,128933227179.26758,-2.0527710697751433
CCI,Crown Castle,Real Estate,38589971540.86647,0.0
CSX,CSX Corporation,Industrials,67533431987.48903,0.0
CMI,Cummins,Industrials,70880234204.95972,1.131327690436936
CVS,CVS Health,Health Care,94997978852.77484,0.0
DHR,Danaher Corporation,Health Care,163030620994.3615,0.0
DRI,Darden Restaurants,Consumer Discretionary,20488056497.487762,0.0
DDOG,Datadog,Information Technology,53528137979.33208,0.0
DVA,DaVita,Health Care,8390524890.899658,0.0
DAY,Dayforce,Industrials,11060816125.873436,0.021706787235393325
DECK,Deckers Brands,Consumer Discretionary,14226870047.431793,0.0
DE,Deere & Company,Industrials,130325801533.15967,0.0
DELL,Dell Technologies,Information Technology,92747153814.59601,3.2328009485729843
DAL,Delta Air Lines,Industrials,44218639446.03369,0.3778409999763736
DVN,Devon Energy,Energy,24074789515.686035,0.663305940857312
DXCM,Dexcom,Health Care,25344993764.493393,-0.3392463005082694
FANG,Diamondback Energy,Energy,46445153959.993225,0.0
DLR,Digital Realty,Real Estate,56358386880.97632,0.0
DG,Dollar General,Consumer Staples,26985109529.14279,0.0
DLTR,Dollar Tree,Consumer Staples,23810186160.36209,3.427207588855895
D,Dominion Energy,Utilities,51328727601.6573,0.0
DPZ,Domino's,Consumer Discretionary,14583268332.248108,-0.49225138131115936
DASH,DoorDash,Consumer Discretionary,95535994823.4326,-0.36767043319447845
DOV,Dover Corporation,Industrials,26234668328.016632,0.5098024906301638
DOW,Dow Inc.,Materials,16532449700.601746,-2.124999889621029
DHI,D. R. Horton,Consumer Discretionary,48087326298.80081,-2.2424223928740528
DTE,DTE Energy,Utilities,27735547171.82965,0.3003522880852201
DUK,Duke Energy,Utilities,92116461504.9679,-0.1406183179687416
DD,DuPont,Materials,16838617696.184952,1.3363559791628654
ETN,Eaton Corporation,Industrials,132272456723.02246,1.2232858655880643
EBAY,eBay Inc.,Consumer Discretionary,37606530418.395996,0.35365965308212655
ECL,Ecolab,Materials,74511132830.14893,-0.6128684596836715
EIX,Edison International,Utilities,22174135129.912933,0.5584636982285491
EW,Edwards Lifesciences,Health Care,50252825216.674805,1.9409349705430707
EA,Electronic Arts,Communication Services,50861582546.09267,0.07381225900729195
ELV,Elevance Health,Health Care,75668919536.33102,1.5993978971797052
EME,Emcor,Industrials,28153698326.03174,2.763067507276348
EMR,Emerson Electric,Industrials,76951641595.45898,1.3640717223042909
ETR,Entergy,Utilities,42129718529.96832,0.1008077492111745
EOG,EOG Resources,Energy,61328708785.96033,0.7308714881164194
EPAM,EPAM Systems,Information Technology,11206218122.02652,0.5999984741210938
EQT,EQT Corporation,Energy,37898029313.8504,-0.6947837988922972
EFX,Equifax,Industrials,26313113234.430847,1.8283703045850714
EQIX,Equinix,Real Estate,71067082057.83948,-1.2064589711987221
EQR,Equity Residential,Real Estate,24322125119.7361,-0.3707875975536739
ERIE,Erie Indemnity,Financials,15727746733.989594,1.5428268647419399
ESS,Essex Property Trust,Real Estate,17857652592.479004,-0.46962861899911323
EL,Estée Lauder Companies (The),Consumer Staples,36994583558.07861,0.0
EG,Everest Group,Financials,13168097116.505493,-0.10826874477351367
EVRG,Evergy,Utilities,17049658942.59375,-0.30960203809274794
ES,Eversource Energy,Utilities,24634920634.683685,-0.4774934600234537
EXC,Exelon,Utilities,44515190797.68416,-1.0215577496678199
EXE,Expand Energy,Energy,29418720173.920143,0.5126513601976925
EXPE,Expedia Group,Consumer Discretionary,32109762650.954987,-1.0955719277835194
EXPD,Expeditors International,Industrials,20448709159.891968,1.7421850866739217
EXR,Extra Space Storage,Real Estate,29049734710.961212,-0.8696378610880242
XOM,ExxonMobil,Energy,500036247113.4992,-0.4329389838864342
FFIV,"F5, Inc.",Information Technology,14143078391.490173,1.0867265849279717
FDS,FactSet,Financials,10521624742.691528,-0.3044979839157109
FICO,Fair Isaac,Information Technology,42644894663.57324,0.8085794647718726
FAST,Fastenal,Industrials,48058843062.683945,1.55701093583535
FRT,Federal Realty Investment Trust,Real Estate,8436885668.709747,-0.6947285699397949
FDX,FedEx,Industrials,65044664172.78598,1.8635525235198045
FIS,Fidelity National Information Services,Financials,34179230452.52729,-0.3502944625425333
FITB,Fifth Third Bancorp,Financials,30008127682.14728,1.0238127784291733
FSLR,First Solar,Information Technology,27673698054.386597,0.7146829287245425
FE,FirstEnergy,Utilities,26243346339.939537,0.4532430535694662
FISV,Fiserv,Financials,35697219906.34481,0.0
F,Ford Motor Company,Consumer Discretionary,52192946624.83607,0.03819797083752858
FTNT,Fortinet,Information Technology,64918059251.14334,2.3682926943939897
FTV,Fortive,Industrials,18089152737.05103,0.028062468539453427
FOXA,Fox Corporation (Class A),Communication Services,29731288266.148247,0.7840537954431215
FOX,Fox Corporation (Class B),Communication Services,28122904988.364563,0.6573392509897124
BEN,Franklin Resources,Financials,12179875374.396744,1.6045186837686458
FCX,Freeport-McMoRan,Materials,63511212434.48311,-0.6737014266437037
GRMN,Garmin,Consumer Discretionary,39341913419.01184,2.4666589809170283
IT,Gartner,Information Technology,17586381805.035553,0.1280656572043446
GE,GE Aerospace,Industrials,310202371522.3358,1.397795887970685
GEHC,GE HealthCare,Health Care,37734853054.70838,-1.1245302705984535
GEV,GE Vernova,Industrials,172693424386.41846,5.423862651475117
GEN,Gen Digital,Information Technology,16577328438.591246,-1.1401300742996106
GNRC,Generac,Industrials,9654702789.04538,3.361190026425113
GD,General Dynamics,Industrials,92437914148.66193,1.2216058467955775
GIS,General Mills,Consumer Staples,24608917798.515884,-0.3787862211485657
GM,General Motors,Consumer Discretionary,72476922601.125,1.9145806111033479
GPC,Genuine Parts Company,Consumer Discretionary,18116359820.655823,0.5870043250717211
GILD,Gilead Sciences,Health Care,153568467325.17657,-0.98800048828125
